Site,Minimum Cylce Length,Alternative minimum (1),Alternative minimum (2),Stretch Scycle Length,Maximum Cycle Length,Selected by Degree of Saturation (1),Selected by Degree of Saturation (2),1st phase minimum,Minimum in seconds,Minimum_PhaseA_Percentage,2nd phase minimum,Minimum in seconds,3rd phase minimum,Minimum in seconds,4th phase minimum,Minimum in seconds,Stretch phase bias
10012,100,100,120,140,180,100,120,45,N,45,20,N,20,N,0,N,0
10015,90,90,90,120,150,100,120,50,N,50,15,N,15,N,0,N,0
10017,90,90,100,150,220,75,115,60,N,60,20,N,0,N,0,N,0
10018,90,90,100,150,200,75,110,,,0,,,,,,,
10019,90,90,100,150,200,80,110,40,N,40,15,Y,15,Y,0,N,110
10020,100,100,120,150,150,180,100,40,N,40,15,N,15,N,0,N,0
10021,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10022,100,100,120,130,160,100,120,40,N,40,25,N,0,N,0,N,0
10023,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10024,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10025,100,100,120,150,180,100,115,50,N,50,10,Y,15,Y,0,N,0
10026,100,100,120,130,160,100,120,50,N,50,15,N,15,N,0,N,0
10027,100,100,120,150,180,100,115,40,N,40,25,N,0,N,0,N,0
10028,100,100,120,150,180,100,115,40,N,40,30,N,0,N,0,N,0
10029,100,100,120,150,180,100,115,40,N,40,15,Y,15,N,0,N,0
10030,100,100,120,150,180,100,115,40,N,40,25,N,0,N,0,N,0
10031,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10032,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10033,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10034,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10035,100,100,120,150,180,100,115,40,N,40,25,N,0,N,0,N,0
10036,100,100,120,150,180,100,115,40,N,40,15,N,15,N,0,N,0
10040,99,100,101,140,200,90,120,50,N,50,16,N,20,N,0,N,0
10041,99,100,101,140,200,90,120,40,N,40,20,N,0,N,0,N,0
10042,99,100,101,140,200,90,120,40,N,40,20,N,20,N,0,N,0
10043,99,100,101,140,200,90,120,40,N,40,20,N,20,N,0,N,0
10044,99,100,101,140,200,90,120,40,N,40,20,N,0,N,0,N,0
10045,99,100,101,140,200,90,120,40,N,40,20,N,20,N,0,N,0
10046,99,100,101,140,200,90,120,40,N,40,20,N,0,N,0,N,0
10047,99,100,101,140,200,90,120,40,N,40,20,N,0,N,0,N,0
10048,99,100,101,120,150,90,120,40,N,40,20,N,0,N,0,N,0
10049,99,100,101,120,150,90,120,38,N,38,20,N,40,N,0,N,0
10050,99,100,101,120,150,90,120,40,N,40,20,N,0,N,0,N,0
10051,99,100,101,140,180,90,120,40,N,40,15,N,15,N,15,N,0
10052,99,100,101,140,200,90,120,40,N,40,20,N,0,N,0,N,0
1800,95,100,0,120,150,80,110,40,N,40,25,N,0,N,0,N,0
1801,95,100,0,120,150,80,110,40,N,40,18,N,17,N,0,N,110
1802,95,100,0,120,150,80,110,40,N,40,25,N,0,N,0,N,0
1803,95,100,0,120,150,80,110,40,N,40,17,N,18,N,0,N,110
1804,95,100,0,120,150,80,110,40,N,40,18,N,17,N,0,N,110
1805,95,100,0,120,150,80,110,40,N,40,25,N,0,N,0,N,0
1806,95,100,0,120,150,80,110,40,N,40,25,N,0,N,0,N,0
1807,95,100,0,120,150,80,110,42,N,42,17,N,18,N,0,N,110
1808,95,100,0,120,150,80,110,43,N,43,16,N,36,N,0,N,110
1809,95,100,0,120,150,80,110,40,N,40,25,N,0,N,0,N,0
1810,95,100,0,120,150,80,110,40,N,40,16,N,24,N,0,N,110
1811,95,100,0,110,120,80,100,40,N,40,30,N,0,N,0,N,0
1812,95,100,0,120,150,80,110,45,N,45,14,N,16,N,0,N,110
13080,90,100,0,120,140,90,110,40,N,40,20,N,0,N,0,N,0
13081,90,100,0,120,140,90,110,35,N,35,20,N,15,N,15,N,0
13082,90,100,0,120,140,90,110,45,N,45,15,N,15,N,15,N,110
13083,90,100,0,120,140,90,110,40,N,40,15,N,15,N,15,N,110
13084,90,100,0,120,140,90,110,40,N,40,20,N,20,N,0,N,110
13085,90,100,0,120,140,90,110,35,N,35,15,N,15,N,15,N,110
13086,100,120,0,130,140,90,110,47,Y,47,20,N,20,N,0,N,0
13087,90,100,0,120,130,90,110,40,N,40,23,N,22,N,0,N,0
13088,90,100,0,120,130,90,110,38,N,38,14,N,14,N,19,N,0
13089,90,100,0,120,130,90,110,60,N,60,10,N,10,N,0,N,0
13090,90,100,0,120,130,90,110,45,N,45,35,N,0,N,0,N,0
13091,90,100,0,120,130,90,110,42,N,42,15,N,18,N,15,N,110
13092,90,100,0,120,130,90,110,45,N,45,20,N,15,N,0,N,0
13093,90,100,0,120,130,90,110,45,N,45,20,Y,15,N,0,N,0
13094,90,100,0,120,130,90,110,35,N,35,35,N,15,N,0,N,0
13095,100,120,0,130,140,90,110,35,N,35,15,N,15,N,15,N,0
13096,100,120,0,160,200,95,115,12,N,12,10,N,20,N,13,N,0
7300,100,105,110,130,160,95,115,40,N,40,15,N,15,N,0,N,0
7301,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7302,100,105,110,130,160,95,115,45,N,45,15,N,15,N,0,N,110
7303,100,105,110,140,180,100,115,16,Y,16,16,Y,16,Y,12,Y,0
7304,100,105,110,130,160,95,1150,35,N,35,15,N,15,N,0,N,0
7305,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7306,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7307,100,105,110,130,160,95,115,55,N,55,18,Y,25,Y,30,Y,110
7308,100,105,110,140,170,100,115,40,N,40,15,N,15,N,15,N,0
7309,100,105,110,130,160,95,115,45,N,45,35,N,0,N,0,N,0
7310,100,105,110,130,160,95,115,40,N,40,15,N,15,N,0,N,0
7311,100,105,110,130,160,95,115,40,N,40,20,N,0,N,0,N,0
7312,100,105,110,140,180,100,115,40,N,40,7,Y,7,Y,7,Y,0
7314,100,105,110,140,180,100,115,35,N,35,15,N,15,N,15,N,0
7315,100,105,110,130,160,95,115,52,N,52,15,N,18,Y,14,Y,110
7316,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7317,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7318,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7319,100,105,110,130,160,95,115,45,N,45,15,N,15,N,0,N,0
7320,100,105,110,130,160,95,115,40,N,40,20,N,0,N,0,N,0
7321,100,105,110,140,160,100,115,35,N,35,15,N,15,N,0,N,0
7322,100,105,110,140,160,100,115,50,N,50,15,N,15,N,0,N,0
7323,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7324,100,105,110,140,180,100,115,45,N,45,16,Y,16,Y,16,Y,0
7325,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7326,100,105,110,130,160,95,115,35,N,35,15,N,15,N,0,N,0
7327,100,105,110,130,160,95,115,40,N,40,20,N,0,N,0,N,0
7328,100,105,110,130,160,95,115,40,N,40,20,N,0,N,0,N,0
7329,100,105,110,130,160,95,115,40,N,40,20,N,0,N,0,N,0
